       34       10        1     0.1981424207E-04
       20       32        1     0.3797046391E-03
       21       36        1     0.4693367280E-03
       22       36        1     0.5695249069E-03
       23       40        1     0.6724581414E-03
       24       44        1     0.7637836801E-03
       25       46        1     0.8497030291E-03
       26       50        1     0.9372931619E-03
       27       52        1     0.1023565994E-02
       26       12        1     0.9736461969E-04
       27       22        1     0.2112354574E-03
       28       84        2     0.1458700368E-02
       29       86        2     0.1640681560E-02
       30       90        2     0.1835597008E-02
       31       92        2     0.2008081468E-02
       32       94        2     0.2177692524E-02
       33      100        2     0.2398543775E-02
       16       42        1     0.9020328961E-03
       17       42        1     0.1032879871E-02
       18       46        1     0.1192449987E-02
       19       48        1     0.1327780561E-02
       20       52        1     0.1474247554E-02
       21       56        1     0.1632767777E-02
       17        8        1     0.3186813827E-04
       18       14        1     0.1054443588E-03
       19       18        1     0.1819866354E-03
       20       24        1     0.2493396103E-03
       21       30        1     0.3255966872E-03
       22       96        2     0.2169847800E-02
       10       46        1     0.5025089087E-03
       11       46        1     0.5866736618E-03
       12       50        1     0.6672733734E-03
       13       54        1     0.7750713984E-03
       14       58        1     0.8723364348E-03
       15       60        1     0.9793989665E-03
       16       62        1     0.1082808267E-02
       17       66        1     0.1204515150E-02
       13        8        1     0.5742040626E-04
       14       14        1     0.1501354490E-03
       15       18        1     0.2350492072E-03
       16       22        1     0.3217280307E-03
       17       26        1     0.4021108440E-03
        4       24        1     0.1531043273E-06
        5       30        1     0.1467432961E-06
        6       34        1     0.5280918782E-07
        7       40        1     0.2781025611E-07
        8       46        1     0.1278080935E-06
        9       50        1     0.1653130049E-06
       10       54        1     0.1991749265E-06
       11       58        1     0.2455367073E-06
       12       62        1     0.2850142759E-06
       13       66        1     0.3435861990E-06
       14       66        1     0.4584363359E-06
       15       70        1     0.4935905689E-06
       16       74        1     0.5501554411E-06
       17       78        1     0.6572113946E-06
       12       10        1     0.3972254917E-04
       13       14        1     0.7692205343E-04
       14       18        1     0.1142683372E-03
       15       22        1     0.1476030108E-03
       16       26        1     0.1804616163E-03
       17       32        1     0.2095460966E-03
        3        8        1     0.2898623737E-04
        4       16        1     0.9725799811E-04
        5       24        1     0.1668463594E-03
        6       30        1     0.2387623249E-03
        7       34        1     0.3112911756E-03
        8       38        1     0.3853316895E-03
        9       44        1     0.4439928573E-03
       10       48        1     0.5215631153E-03
       11       52        1     0.6052003255E-03
       12       56        1     0.6881385990E-03
       13       60        1     0.7759053514E-03
       14       62        1     0.8679793070E-03
       15       64        1     0.9518856421E-03
       16       68        1     0.1065775932E-02
       17       72        1     0.1166664754E-02
       18      300        5     0.1021513232E-06
       19      304        5     0.9628553627E-06
       20      308        5     0.1743486749E-05
       16        6        1     0.1044788530E-05
       17       14        1     0.8811556736E-05
       18       18        1     0.1637925019E-04
       19       22        1     0.2357883677E-04
       20       28        1     0.2979811045E-04
        9        8        1     0.5031727938E-04
       10       18        1     0.2012091712E-03
       11       30        1     0.4384104338E-03
       12       34        1     0.6270018336E-03
       13       36        1     0.8010545927E-03
       14       40        1     0.9844031998E-03
       15       42        1     0.1135150307E-02
       16       44        1     0.1302323886E-02
       17       48        1     0.1478493637E-02
       18       52        1     0.1642239998E-02
       19       54        1     0.1808118684E-02
       20       58        1     0.2010564426E-02
       21      412        7     0.3004306945E-03
       22      416        7     0.3296179889E-03
       23      518        9     0.3274419679E-05
       24      522        9     0.6611949964E-05
       25      524        9     0.9766644248E-05
       26      528        9     0.1333950527E-04
       27      532        9     0.1534733965E-04
       28      534        9     0.1709549762E-04
       29      538        9     0.1992769651E-04
       30      542        9     0.2069179033E-04
       24        8        1     0.1987315585E-04
       25       16        1     0.1303622566E-03
       26       24        1     0.2343780689E-03
       15        8        1     0.4406171082E-04
       16       18        1     0.1536986020E-03
       17       26        1     0.3018866869E-03
       18       30        1     0.4245564930E-03
       19       32        1     0.5524663880E-03
       20       36        1     0.6832743082E-03
       21       40        1     0.8040878133E-03
       22       40        1     0.9157804215E-03
       23       44        1     0.1044920338E-02
       24       46        1     0.1156584619E-02
       25       50        1     0.1276171995E-02
       26       54        1     0.1401119881E-02
       27       86        2     0.1886388080E-02
       28       90        2     0.2092915155E-02
       29       92        2     0.2282139165E-02
       30       96        2     0.2513067865E-02
       31      646       11     0.1721952310E-03
       32      648       11     0.1898441488E-03
       33      654       11     0.2048431945E-03
       34      760       13     0.4296623230E-05
       35      764       13     0.6216908707E-05
       36      766       13     0.7767038613E-05
       37      768       13     0.9050242757E-05
       38      772       13     0.1026282440E-04
       39      774       13     0.1153902053E-04
       40      776       13     0.1243027853E-04
       41      780       13     0.1296417275E-04
       33       14        1     0.7029731596E-04
       19        6        1     0.1028180432E-04
       20       18        2     0.4151229948E-04
       21       22        2     0.7503471832E-04
       22       26        2     0.1062353318E-03
       23       30        2     0.1339890149E-03
       24       34        2     0.1624624182E-03
       25       38        2     0.1864421294E-03
       26       42        2     0.2091878140E-03
       27       42        2     0.2292616094E-03
       28       46        2     0.2492889852E-03
       29       46        2     0.2665526608E-03
       30       50        2     0.2891309576E-03
       31       52        2     0.3103637361E-03
       32       54        2     0.3266099359E-03
       33       60        2     0.3558278724E-03
       34       84        3     0.5354265286E-03
       35       88        3     0.6302100336E-03
       36       92        3     0.7062179576E-03
       37       94        3     0.7793773851E-03
       38       98        3     0.8432048667E-03
       39       98        3     0.9033156708E-03
       40      102        3     0.9691495896E-03
       41      104        3     0.1034277746E-02
       42      896       16     0.3815306135E-04
       43      900       16     0.4313476593E-04
       44      902       16     0.4552717863E-04
       20       12        2     0.2125233999E-06
       21       20        2     0.3615561551E-08
       22       28        2     0.2137521086E-08
       23       32        2     0.3339240771E-06
       24       38        2     0.2060435370E-05
       25       42        2     0.4893825237E-05
       26       42        2     0.9361906256E-05
       27       46        2     0.1449715064E-04
       28       48        2     0.1902525762E-04
       29       48        2     0.2944388947E-04
       30       52        2     0.3521164780E-04
       31       52        2     0.4166907249E-04
       32       56        2     0.5385555895E-04
       33       58        2     0.6473839332E-04
       34       60        2     0.7105911032E-04
       35       62        2     0.8527487650E-04
       36       66        2     0.9518904113E-04
       37       68        2     0.1010679315E-03
       38       72        2     0.1094687414E-03
       39       92        4     0.8215030958E-04
       40       98        4     0.4896098957E-04
       41       98        4     0.3502872381E-04
       42      102        4     0.2852275871E-04
       43      104        4     0.2312333743E-04
       44      106        4     0.2088312664E-04
       45      108        4     0.1694258493E-04
       46      110        4     0.1694169392E-04
       47      114        4     0.1564636742E-04
       48      116        4     0.1437925338E-04
       40        4        1     0.2411581627E-05
       41       12        1     0.1694229065E-04
       42       16        1     0.3869829558E-04
       18        4        1     0.5818375023E-06
       19       20        1     0.9683459418E-05
       20       28        1     0.1892005278E-04
       21       36        1     0.3257392094E-04
       22       40        1     0.4905648992E-04
       23       44        1     0.6309937785E-04
       24       48        1     0.8146402761E-04
       25       50        1     0.9817735285E-04
       26       52        1     0.1167668652E-03
       27       54        1     0.1452198879E-03
       28       58        1     0.1694661715E-03
       29       58        1     0.1915595126E-03
       30       60        1     0.2286477925E-03
       31       64        1     0.2512538702E-03
       32       64        1     0.2764118533E-03
       33       66        1     0.3044319859E-03
       34       68        1     0.3334473578E-03
       35       68        1     0.3571216421E-03
       36       70        1     0.3861207064E-03
       37       72        1     0.3989495367E-03
       38       72        1     0.4153733921E-03
       39       76        1     0.4423608390E-03
       40       76        1     0.4606623524E-03
       41       80        1     0.4668935027E-03
       42       82        1     0.4741951749E-03
       43      106        2     0.3428896497E-03
       44      110        2     0.3229672253E-03
